Rank,WSID,Overall,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
1,,Todd Gurley,LAR,RB1,12,1,5,1.7,1,1,0
2,,Le'Veon Bell,PIT,RB2,7,1,7,2.3,1.2,2,0
3,,David Johnson,ARI,RB3,9,1,8,3.8,1.5,4,1
4,,Ezekiel Elliott,DAL,RB4,8,1,11,4.1,1.8,3,-1
5,,Antonio Brown,PIT,WR1,7,1,9,4.3,1.4,5,0
6,,DeAndre Hopkins,HOU,WR2,10,3,16,7.5,2.3,8,2
7,,Alvin Kamara,NO,RB5,6,2,19,7.7,3.2,6,-1
8,,Odell Beckham Jr.,NYG,WR3,9,4,16,8.9,2.3,10,2
9,,Saquon Barkley,NYG,RB6,9,3,25,9.2,3.8,7,-2
10,,Julio Jones,ATL,WR4,8,4,19,10.6,2.4,13,3
11,,Michael Thomas,NO,WR5,6,6,23,12.7,3.1,15,4
12,,Kareem Hunt,KC,RB7,12,5,26,12.9,4.2,9,-3
13,,Melvin Gordon,LAC,RB8,8,7,22,13,3.9,11,-2
14,,Keenan Allen,LAC,WR6,8,9,25,14.4,3,16,2
15,,Leonard Fournette,JAC,RB9,9,6,42,15.4,6.1,12,-3
16,,Dalvin Cook,MIN,RB10,10,7,38,16.2,4.9,14,-2
17,,A.J. Green,CIN,WR7,9,11,22,16.2,2.3,19,2
18,,Davante Adams,GB,WR8,7,10,23,16.6,3,18,0
19,,Devonta Freeman,ATL,RB11,8,14,43,21.5,4.8,20,1
20,,Mike Evans,TB,WR9,5,13,38,22.3,4.9,22,2
21,,Christian McCaffrey,CAR,RB12,4,12,49,24,6.9,17,-4
22,,Jerick McKinnon,SF,RB13,11,14,57,24.5,7.6,23,1
23,,Rob Gronkowski,NE,TE1,11,15,59,24.7,7.4,21,-2
24,,Jordan Howard,CHI,RB14,5,17,46,26.9,5.2,24,0
25,,T.Y. Hilton,IND,WR10,9,14,64,27,7.4,28,3
26,,Adam Thielen,MIN,WR11,10,16,43,27.6,5.9,29,3
27,,Doug Baldwin,SEA,WR12,7,18,52,28.9,8.5,33,6
28,,Travis Kelce,KC,TE2,12,20,54,29.4,6.8,26,-2
29,,Joe Mixon,CIN,RB15,9,14,58,30.6,7.9,25,-4
30,,Stefon Diggs,MIN,WR13,10,17,57,31.2,7.1,32,2
31,,Larry Fitzgerald,ARI,WR14,9,17,53,31.8,7.2,35,4
32,,Tyreek Hill,KC,WR15,12,19,60,33.5,7.8,31,-1
33,,Amari Cooper,OAK,WR16,7,21,62,36.6,8.5,37,4
34,,Demaryius Thomas,DEN,WR17,10,20,65,38,7.8,41,7
35,,LeSean McCoy,BUF,RB16,11,15,102,39.2,18.5,27,-8
36,,Zach Ertz,PHI,TE3,9,16,68,39.3,10.3,34,-2
37,,Allen Robinson,CHI,WR18,5,23,79,40.5,10.7,40,3
38,,Alex Collins,BAL,RB17,10,24,74,40.6,9.5,45,7
39,,Aaron Rodgers,GB,QB1,7,26,209,42.4,31.8,30,-9
40,,Golden Tate,DET,WR19,6,26,60,42.3,6.3,44,4
41,,Alshon Jeffery,PHI,WR20,9,24,70,43,9.3,52,11
42,,Kenyan Drake,MIA,RB18,11,23,92,43.1,12.5,38,-4
43,,Derrius Guice,WAS,RB19,4,24,69,43.5,11,36,-7
44,,JuJu Smith-Schuster,PIT,WR21,7,32,77,47.7,9.3,47,3
45,,Jay Ajayi,PHI,RB20,9,17,82,48.2,11.9,48,3
46,,Marvin Jones,DET,WR22,6,25,77,51.6,10.4,58,12
47,,Brandin Cooks,LAR,WR23,12,21,95,52.2,14.1,42,-5
48,,Josh Gordon,CLE,WR24,11,19,115,52.2,18.9,50,2
49,,Jarvis Landry,CLE,WR25,11,31,90,52.5,12.6,43,-6
50,,Derrick Henry,TEN,RB21,8,27,97,54,15.7,39,-11
51,,Lamar Miller,HOU,RB22,10,29,103,54.8,13.9,57,6
52,,Russell Wilson,SEA,QB2,7,29,81,48.8,9.6,53,1
53,,Dion Lewis,TEN,RB23,8,37,89,57.3,10.9,61,8
54,,Mark Ingram,NO,RB24,6,25,96,58.6,15.5,55,1
55,,Rashaad Penny,SEA,RB25,7,24,127,60.1,18.9,49,-6
56,,Tom Brady,NE,QB3,11,35,78,53.1,9.1,54,-2
57,,Royce Freeman,DEN,RB26,10,33,107,63.3,17.8,56,-1
58,,Michael Crabtree,BAL,WR26,10,38,113,63.4,14,67,9
