Rank,Blank,Name,Pos,Team,Blank,Place,Place,Place,Place
1,,Le'Veon Bell,RB,PIT,,7,5,2,"1,141.82"
2,,Todd Gurley,RB,LAR,,12,3,1,"1,066.55"
3,,David Johnson,RB,ARZ,,9,3,3,"1,015.27"
4,,Alvin Kamara,RB,NWO,,6,1,5,984
5,,Ezekiel Elliott,RB,DAL,,8,2,4,953.45
6,,Melvin Gordon,RB,LAC,,8,3,11,932.36
7,,Antonio Brown,WR,PIT,,7,8,1,913.5
8,,Saquon Barkley,RB,NYG,,9,R,9,906.55
9,,Leonard Fournette,RB,JAX,,9,1,7,906.18
10,,Kareem Hunt,RB,KC,,12,1,6,888
11,,Dalvin Cook,RB,MIN,,10,1,12,878.55
12,,Julio Jones,WR,ATL,,8,7,5,876.05
13,,Michael Thomas,WR,NWO,,6,2,4,855.4
14,,DeAndre Hopkins,WR,HOU,,10,5,2,827.4
15,,Devonta Freeman,RB,ATL,,8,4,8,813.82
16,,LeSean McCoy,RB,BUF,,11,9,13,804.36
17,,Odell Beckham Jr.,WR,NYG,,9,4,3,788.9
18,,Davante Adams,WR,GB,,7,4,11,784
19,,Keenan Allen,WR,LAC,,8,5,8,771.75
20,,Joe Mixon,RB,CIN,,9,1,10,770.55
21,,A.J. Green,WR,CIN,,9,7,9,754.6
22,,Mike Evans,WR,TB,,5,4,6,742.7
23,,Rashaad Penny,RB,SEA,,7,R,33,730.55
24,,T.Y. Hilton,WR,IND,,9,6,14,727.65
25,,Kenyan Drake,RB,MIA,,11,2,26,721.09
26,,Jerick McKinnon,RB,SF,,11,4,24,710.18
27,,Tyreek Hill,WR,KC,,12,2,15,704.55
28,,Royce Freeman,RB,DEN,,10,R,28,704
29,,Allen Robinson,WR,CHI,,5,4,10,702.8
30,,Derrius Guice,RB,WAS,,4,R,18,701.45
31,,Jordan Howard,RB,CHI,,5,2,16,693.45
32,,Christian McCaffrey,RB,CAR,,4,1,15,693.45
33,,Rob Gronkowski,TE,NE,,11,8,2,665.85
34,,Adam Thielen,WR,MIN,,10,4,26,660.45
35,,Sony Michel,RB,NE,,11,R,19,656
36,,Stefon Diggs,WR,MIN,,10,3,13,649.95
37,,Alex Collins,RB,BAL,,10,2,27,648
38,,Jay Ajayi,RB,PHI,,9,3,20,645.09
39,,Amari Cooper,WR,OAK,,7,3,7,640.15
40,,Alshon Jeffery,WR,PHI,,9,6,17,632.45
41,,Larry Fitzgerald,WR,ARZ,,9,14,55,632.45
42,,JuJu Smith-Schuster,WR,PIT,,7,1,20,629.3
43,,Demaryius Thomas,WR,DEN,,10,8,21,628.95
44,,Doug Baldwin,WR,SEA,,7,7,23,628.6
45,,Derrick Henry,RB,TEN,,8,2,23,617.82
46,,Travis Kelce,TE,KC,,12,5,1,601.54
47,,Jarvis Landry,WR,CLE,,11,4,12,601.3
48,,Lamar Miller,RB,HOU,,10,6,29,597.82
49,,Ronald Jones,RB,TB,,5,R,31,591.27
50,,Brandin Cooks,WR,LAR,,12,4,19,586.25
51,,Golden Tate,WR,DET,,6,8,30,581.7
52,,Tevin Coleman,RB,ATL,,8,3,21,576.36
53,,Mark Ingram,RB,NWO,,6,7,17,575.64
54,,Chris Hogan,WR,NE,,11,5,62,575.4
55,,Aaron Rodgers,QB,GB,,7,13,1,573.14
